Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,ChainId,Chain,Value(ETH)
0x0e9c4e66d066bfd45c10fbda44b6dc8f175e13c6a23ded60b055cd5b7e7f5269,19339307,1735634749,2024-12-31T08:45:49.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,239998009993503200000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x3f10f2fae0b549fa1548ff11b3d92f560594c96d37999f37384522d86c42bce7,19339242,1735634149,2024-12-31T08:35:49.000Z,0xe6026F60efc3D0e714f1B89c596aA484fFBd25C8,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,674373876557523500000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xb51523406f41dc4930c2f5ba41c42ee0384de34c050c937cbc177bafd5626c36,19339205,1735633811,2024-12-31T08:30:11.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,119999659756503220000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xaa2a3aa166e08e72fe5797bb327f4ed15d5fb36e74d4c1d3906c38af3c2abfcc,19339177,1735633548,2024-12-31T08:25:48.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,119897175239495840000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xad61a93159653920bee6e478b12ce69e952fb89a45461f7cac7180c0a5d1b8bb,19339160,1735633380,2024-12-31T08:23:00.000Z,0x8D335941f6F731b3A6169DA21A4f9341D8D70E6e,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1819400000000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x465da590e6825f8618784c9776f5084df5f142adcf763c058a488f61f2ce42d6,19339083,1735632656,2024-12-31T08:10:56.000Z,0xAaCe57a69E5E28BfbDbb8a3DD85b8187e37Fb67C,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,1999400000000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x17ced3285ab82a91bf570807e461f9749b8e5445a3f4229338a356378a7f09b1,19339045,1735632356,2024-12-31T08:05:56.000Z,0x7D36582ABa39295E8f97295729CED95EB0b58531,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,239877377671023500000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0xe24c93f6f381b5247a600dcb9546264059841f1e930c98d7ebe9b2cc7418d666,19338366,1735626004,2024-12-31T06:20:04.000Z,0x7fa28cEA1D474AAf1D75dcBA855bf7517ee2d26E,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,299989976777445340000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x57040519d3c2f661f8d921667fef997714f47a8f04f894aa12a086a3da3cf7f4,19338170,1735624039,2024-12-31T05:47:19.000Z,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xe9626118391d68d0B3d8CDc498c61db5b29c37bB,0xe9626118391d68d0B3d8CDc498c61db5b29c37bB,0,229769000000000000,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
0x53d03bb630d4acaa179a5bfcfe04794254423f8d0a2e57b48e14dc14f7bfc79d,19338009,1735622459,2024-12-31T05:20:59.000Z,0xbCF10020DA1e36C84536EfB7E320679a7160c25C,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,0xfad31cd4d45Ac7C4B5aC6A0044AA05Ca7C017e62,17499400000000000000,0,42.57,0,0,43.587853946788925,,,Transfer,1088,Metis,0
