"Date","Price","Open","High","Low","Vol.","Change %"
"10/12/2024","34.47","33.93","35.14","33.76","2.47K","1.65%"
"10/11/2024","33.91","31.59","34.83","31.43","8.44K","7.34%"
"10/10/2024","31.59","31.47","31.89","30.15","4.02K","0.06%"
"10/09/2024","31.57","33.61","34.08","31.06","3.30K","-5.93%"
"10/08/2024","33.56","35.27","35.81","32.98","5.11K","-4.74%"
"10/07/2024","35.23","35.81","36.91","35.18","3.80K","-1.62%"
"10/06/2024","35.81","34.30","36.17","33.91","3.92K","4.40%"
"10/05/2024","34.30","34.61","34.84","33.72","2.22K","-0.90%"
"10/04/2024","34.61","32.73","35.51","32.65","3.22K","5.71%"
"10/03/2024","32.74","32.92","33.55","31.45","4.61K","-0.55%"
"10/02/2024","32.92","34.15","35.09","32.23","6.85K","-3.57%"
"10/01/2024","34.14","38.19","39.77","33.43","13.90K","-10.32%"
"09/30/2024","38.07","40.82","41.11","37.71","10.19K","-6.62%"
"09/29/2024","40.77","40.42","41.88","39.58","2.32K","0.87%"
"09/28/2024","40.42","41.60","42.50","39.35","4.75K","-2.91%"
"09/27/2024","41.63","40.35","42.84","39.82","5.09K","3.17%"
"09/26/2024","40.35","39.47","41.07","38.93","7.29K","2.23%"
"09/25/2024","39.47","40.72","42.11","39.28","9.15K","-3.19%"
"09/24/2024","40.77","37.15","40.88","36.36","8.39K","10.04%"
"09/23/2024","37.05","36.22","38.22","35.52","7.03K","2.32%"
"09/22/2024","36.21","37.23","37.70","35.24","3.86K","-2.74%"
"09/21/2024","37.23","37.19","37.40","35.94","5.44K","0.03%"
"09/20/2024","37.22","33.98","38.79","33.65","16.72K","9.54%"
"09/19/2024","33.98","32.60","34.99","32.60","9.46K","4.49%"
"09/18/2024","32.52","31.37","32.52","30.35","4.29K","3.67%"
"09/17/2024","31.37","29.69","32.49","29.38","8.43K","5.48%"
"09/16/2024","29.74","30.53","30.56","29.24","4.70K","-2.59%"
"09/15/2024","30.53","32.53","32.68","30.24","4.08K","-6.12%"
"09/14/2024","32.52","33.19","33.30","32.21","2.04K","-1.99%"
"09/13/2024","33.18","30.61","33.66","30.11","6.74K","8.40%"
"09/12/2024","30.61","29.61","30.70","29.61","2.62K","3.38%"
"09/11/2024","29.61","30.52","30.52","28.92","3.41K","-2.98%"
"09/10/2024","30.52","30.39","30.97","29.90","5.82K","0.43%"
"09/09/2024","30.39","29.13","30.70","29.04","6.83K","4.33%"
"09/08/2024","29.13","28.26","29.58","28.08","4.84K","3.08%"
"09/07/2024","28.26","27.73","28.74","27.40","2.93K","1.91%"
"09/06/2024","27.73","29.56","30.41","26.83","5.74K","-6.19%"
"09/05/2024","29.56","30.75","30.91","29.37","2.96K","-3.87%"
"09/04/2024","30.75","30.45","31.41","29.11","3.91K","1.05%"
"09/03/2024","30.43","31.84","32.23","30.43","2.49K","-4.43%"
"09/02/2024","31.84","30.22","31.98","30.04","5.20K","5.36%"
"09/01/2024","30.22","31.43","31.49","30.00","5.50K","-3.85%"
